id,label,volume,number,date,pages
nla.obj-205195544,,8,102,1882-01-07,16
nla.obj-693307821,CHRISTMAS NUMBER OF THE BULLETIN,7,0360,1886-12-25,29
nla.obj-694067297,,7,0365,1887-01-29,14
nla.obj-692612324,,7,0367,1887-02-12,16
nla.obj-692622883,,7,0368,1887-02-19,16
nla.obj-692625411,,7,0369,1887-02-26,16
nla.obj-692640770,,7,0371,1887-03-12,16
nla.obj-692650643,,7,0372,1887-03-19,16
nla.obj-692677413,,7,0373,1887-03-26,16
nla.obj-693514410,,7,0374,1887-04-02,16
nla.obj-693516598,,7,0380,1887-05-14,16
nla.obj-693519960,,7,0384,1887-06-11,16
nla.obj-693527453,,7,0386,1887-06-25,16
nla.obj-693332894,,8,0387,1887-07-02,16
nla.obj-691843746,,8,0393,1887-08-13,16
nla.obj-691843860,,8,0410,1887-12-10,16
nla.obj-692234272,Special Number of The Bulletin,,,1895-11-01,24
nla.obj-691847080,,17,0829,1896-01-04,32
nla.obj-691848251,,17,882,1897-01-09,32
nla.obj-691854470,CHRISTMAS NUMBER OF THE BULLETIN,18,930,1897-12-11,52
nla.obj-691864020,,19,942,1898-03-05,36
nla.obj-691866994,,19,947,1898-04-09,36
nla.obj-672612173,,19,948,1898-04-16,36
nla.obj-691872161,,19,963,1898-07-30,40
nla.obj-691878886,,19,968,1898-09-03,34
nla.obj-691918599,,19,969,1898-09-10,34
nla.obj-691896370,,19,970,1898-09-17,34
nla.obj-691921383,,19,977,1898-11-05,34
nla.obj-693296481,CHRISTMAS NUMBER OF THE BULLETIN,19,982,1898-12-10,54
nla.obj-691928568,,19,983,1898-12-17,34
nla.obj-691934085,,20,1011,1899-07-01,36
nla.obj-691937132,,20,1037,1899-12-30,36
nla.obj-690195858,,21,1055,1900-05-05,36
nla.obj-690196928,,21,1063,1900-06-30,36
nla.obj-690205154,,21,1064,1900-07-07,36
nla.obj-690207155,,21,1089,1900-12-29,36
nla.obj-690219094,,22,1090,1901-01-05,36
nla.obj-690225114,,22,1108,1901-05-11,36
nla.obj-691919250,,22,1120,1901-08-03,36
nla.obj-690225710,,22,1128,1901-09-28,36
nla.obj-690229636,,23,1142,1902-01-04,34
nla.obj-659102551,,23,1148,1902-02-15,40
nla.obj-659102572,,23,1149,1902-02-22,36
nla.obj-659102595,,23,1150,1902-03-01,40
nla.obj-690241414,,23,1168,1902-07-05,36
nla.obj-690245287,,23,1193,1902-12-27,36
nla.obj-690251926,,24,1220,1903-07-02,40
nla.obj-690263974,,24,1221,1903-07-09,40
nla.obj-690269092,,24,1222,1903-07-16,40
nla.obj-690279097,,24,1224,1903-07-30,40
nla.obj-690287902,,24,1225,1903-08-06,40
nla.obj-690292574,,24,1226,1903-08-13,36
nla.obj-690311072,,24,1227,1903-08-20,40
nla.obj-690346116,,24,1232,1903-09-24,40
nla.obj-691932537,,24,1234,1903-10-08,40
nla.obj-690351340,,24,1246,1903-12-31,32
nla.obj-690353883,,25,1248,1904-01-14,38
nla.obj-693285210,,25,1255,1904-03-03,40
nla.obj-690357571,,25,1259,1904-03-31,40
nla.obj-690379870,,25,1260,1904-04-07,40
nla.obj-690382875,,25,1267,1904-05-26,40
nla.obj-690386473,,25,1268,1904-06-02,40
nla.obj-690390587,,25,1270,1904-06-16,40
nla.obj-690400129,,25,1271,1904-06-23,40
nla.obj-690406772,,25,1272,1904-06-30,40
nla.obj-690693295,,25,1273,1904-07-07,36
nla.obj-690693440,,25,1274,1904-07-14,36
nla.obj-690693549,,25,1275,1904-07-21,35
nla.obj-690693671,,25,1276,1904-07-28,36
nla.obj-690693762,,25,1277,1904-08-04,36
nla.obj-690771243,,25,1278,1904-08-11,36
nla.obj-690771262,,25,1279,1904-08-18,36
nla.obj-690771281,,25,1280,1904-08-25,36
nla.obj-690771306,,25,1281,1904-09-01,36
nla.obj-690771322,,25,1282,1904-09-08,36
nla.obj-691215958,,25,1283,1904-09-15,40
nla.obj-691215974,,25,1284,1904-09-22,36
nla.obj-691216080,,25,1285,1904-09-29,36
nla.obj-691216518,,25,1286,1904-10-06,40
nla.obj-691216604,,25,1287,1904-10-13,40
nla.obj-691254395,,25,1288,1904-10-20,36
nla.obj-691254859,,25,1289,1904-10-27,52
nla.obj-691254991,,25,1290,1904-11-03,40
nla.obj-691255316,,25,1291,1904-11-10,38
nla.obj-691255401,,25,1292,1904-11-17,40
nla.obj-691410383,,25,1293,1904-11-24,40
nla.obj-691411568,,25,1294,1904-12-01,40
nla.obj-691412748,,25,1295,1904-12-08,48
nla.obj-691413723,,25,1296,1904-12-15,40
nla.obj-691413751,,25,1297,1904-12-22,36
nla.obj-691413772,,25,1298,1904-12-29,36
nla.obj-690415370,,26,1299,1905-01-05,40
nla.obj-690424252,,26,1304,1905-02-09,40
nla.obj-690444286,,26,1305,1905-02-16,40
nla.obj-690447150,,26,1306,1905-02-23,40
nla.obj-690451369,,26,1308,1905-03-09,40
nla.obj-690474489,,26,1309,1905-03-16,40
nla.obj-690480245,,26,1315,1905-04-27,40
nla.obj-690491523,,26,1319,1905-05-25,38
nla.obj-690499850,,26,1320,1905-06-01,40
nla.obj-690507832,,26,1321,1905-06-08,40
nla.obj-690620857,,26,1344,1905-11-16,44
nla.obj-693311984,,26,1345,1905-11-23,44
nla.obj-690688867,,27,1355,1906-02-01,44
nla.obj-690843697,,27,1384,1906-08-23,48
nla.obj-690847977,,27,1385,1906-08-30,48
nla.obj-690853644,,27,1386,1906-09-06,48
nla.obj-690859072,,27,1390,1906-10-04,47
nla.obj-690868088,,27,1392,1906-10-18,48
nla.obj-690884065,,27,1396,1906-11-15,48
nla.obj-691078028,,28,1425,1907-06-06,44
nla.obj-691097670,,28,1428,1907-06-27,48
nla.obj-691166414,,28,1435,1907-08-15,48
nla.obj-691307873,,29,1455,1908-01-02,44
nla.obj-693459985,,29,1462,1908-02-20,44
nla.obj-691949383,,29,1469,1908-04-09,44
nla.obj-693428151,,29,1471,1908-04-23,42
nla.obj-691951982,,29,1478,1908-06-11,44
nla.obj-691958943,,29,1480,1908-06-25,48
nla.obj-691575510,,31,1560,1910-01-06,48
nla.obj-691572030,,31,1561,1910-01-13,44
nla.obj-691399006,,31,1562,1910-01-20,44
nla.obj-691281375,,31,1563,1910-01-27,44
nla.obj-691271609,,31,1564,1910-02-03,44
nla.obj-691209982,,31,1565,1910-02-10,44
nla.obj-691202009,,31,1566,1910-02-17,48
nla.obj-691186483,,31,1567,1910-02-24,40
nla.obj-691165585,,31,1568,1910-03-03,44
nla.obj-690972517,,31,1569,1910-03-10,44
nla.obj-690939319,,31,1570,1910-03-17,48
nla.obj-690912275,,31,1571,1910-03-24,48
nla.obj-690894374,,31,1573,1910-04-07,44
nla.obj-690882699,,31,1574,1910-04-14,44
nla.obj-690868911,,31,1576,1910-04-28,48
nla.obj-690843418,,31,1577,1910-05-05,44
nla.obj-690817337,,31,1581,1910-06-02,44
nla.obj-690816070,,31,1582,1910-06-09,44
nla.obj-690815841,,31,1584,1910-06-23,48
nla.obj-690803428,,33,1664,1912-01-04,48
nla.obj-690795860,,33,1665,1912-01-11,48
nla.obj-690792216,,33,1666,1912-01-18,48
nla.obj-690547097,,33,1669,1912-02-08,48
nla.obj-690534557,,33,1670,1912-02-15,48
nla.obj-690529172,,33,1672,1912-02-29,48
nla.obj-690514335,,33,1673,1912-03-07,48
nla.obj-690480543,,33,1674,1912-03-14,48
nla.obj-690467591,,33,1676,1912-03-28,52
nla.obj-690449323,,33,1677,1912-04-04,48
nla.obj-690441847,,33,1684,1912-05-23,52
nla.obj-690427664,,33,1686,1912-06-06,48
nla.obj-690406228,,33,1687,1912-06-13,48
nla.obj-655326373,,34,1727,1913-03-20,54
nla.obj-692318952,,34,1748,1913-08-14,50
nla.obj-672411314,,34,1752,1913-09-11,52
nla.obj-690382725,,36,1846,1915-07-01,52
nla.obj-690353826,,39,1977,1918-01-03,50
nla.obj-663674857,,39,2022,1918-11-14,52
nla.obj-690347333,,40,2037,1919-02-27,51
nla.obj-693443204,,40,2055,1919-07-03,52
nla.obj-690279679,,42,2181,1921-12-01,52
nla.obj-666699573,,43,2233,1922-11-30,52
nla.obj-690249639,,43,2237,1922-12-28,50
nla.obj-616246359,,44,2272,1923-08-30,52
nla.obj-617709379,,45,2331,1924-10-16,52
nla.obj-690240273,,51,2607,1930-01-29,92
nla.obj-687203808,,81,4205,1960-09-14,68
nla.obj-687203951,,81,4206,1960-09-21,60
nla.obj-687204087,,81,4207,1960-09-28,60
nla.obj-687204423,,81,4210,1960-10-19,60
nla.obj-687204556,,81,4211,1960-10-26,76
nla.obj-687204796,,81,4213,1960-11-09,60
